timestamp,experiment,participant,model,trial,condition_id,condition,group,timbre,source,audio1,audio2,response,same_speaker_truth,rt_ms,session_id,age,ethnicity,dialect,first_language,other_languages,gender,speech_disorder,speech_disorder_desc,neurodivergent,neurodivergent_desc,technologies_used,ai_use_frequency,ai_attitude,final_feedback
8/6/2026,accent_dialect,5f9a0b386a200211eea8e2ed,openvoice,1,2,timbreRef_vs_timbreRef,bottom5,gujarati7__1504,english200__667,reference_sentence1_gujarati7__1504_s1.wav,reference_sentence2_gujarati7__1504_s2.wav,yes,same,2233,mshx12l7-4q2zdl3d,,,,,,,,,,,,,,
8/6/2026,accent_dialect,5f9a0b386a200211eea8e2ed,openvoice,2,1,output_vs_timbreRef,bottom5,hindi7__867,english200__667,reference_sentence1_hindi7__867_s1.wav,openvoice_bottom5_output_sentence2_timbre-hindi7__867__source-english200__667__openvoice_s2.wav,no,NA,720,mshx12l7-4q2zdl3d,,,,,,,,,,,,,,
8/6/2026,accent_dialect,5bcc60b95c2b810001dc68e2,seed_vc,1,5,sourceRef_vs_sourceRef,bottom5,gujarati4__610,english200__667,source_sentence1_english200__667_s1.wav,source_sentence2_english200__667_s2.wav,yes,same,751,mshx1tkg-nm50v5h1,,,,,,,,,,,,,,
8/6/2026,accent_dialect,5f9a0b386a200211eea8e2ed,openvoice,4,4,output_vs_sourceRef,bottom5,hindi7__867,english200__667,openvoice_bottom5_output_sentence1_timbre-hindi7__867__source-english200__667__openvoice_s1.wav,source_sentence2_english200__667_s2.wav,no,NA,2678,mshx12l7-4q2zdl3d,,,,,,,,,,,,,,
8/6/2026,accent_dialect,5bcc60b95c2b810001dc68e2,seed_vc,2,4,output_vs_sourceRef,top5,hindi10__1202,english200__667,seed_vc_top5_output_sentence1_timbre-hindi10__1202__source-english200__667__seed_vc_s1.wav,source_sentence2_english200__667_s2.wav,yes,NA,1525,mshx1tkg-nm50v5h1,,,,,,,,,,,,,,
8/6/2026,accent_dialect,5f9a0b386a200211eea8e2ed,openvoice,5,3,timbreRef_vs_sourceRef,bottom5,hindi7__867,english200__667,source_sentence1_english200__667_s1.wav,reference_sentence2_hindi7__867_s2.wav,no,different,1668,mshx12l7-4q2zdl3d,,,,,,,,,,,,,,
8/6/2026,accent_dialect,5bcc60b95c2b810001dc68e2,seed_vc,3,3,timbreRef_vs_sourceRef,top5,hindi19__2206,english584__2197,source_sentence1_english584__2197_s1.wav,reference_sentence2_hindi19__2206_s2.wav,no,different,1504,mshx1tkg-nm50v5h1,,,,,,,,,,,,,,
8/6/2026,accent_dialect,5f9a0b386a200211eea8e2ed,openvoice,6,5,sourceRef_vs_sourceRef,bottom5,gujarati7__1504,english200__667,source_sentence1_english200__667_s1.wav,source_sentence2_english200__667_s2.wav,yes,same,695,mshx12l7-4q2zdl3d,,,,,,,,,,,,,,
8/6/2026,accent_dialect,5f9a0b386a200211eea8e2ed,openvoice,7,3,timbreRef_vs_sourceRef,bottom5,gujarati8__1678,english200__667,reference_sentence1_gujarati8__1678_s1.wav,source_sentence2_english200__667_s2.wav,yes,different,784,mshx12l7-4q2zdl3d,,,,,,,,,,,,,,
8/6/2026,accent_dialect,5bcc60b95c2b810001dc68e2,seed_vc,4,4,output_vs_sourceRef,bottom5,hindi21__2236,english584__2197,seed_vc_bottom5_output_sentence1_timbre-hindi21__2236__source-english584__2197__seed_vc_s1.wav,source_sentence2_english584__2197_s2.wav,yes,NA,721,mshx1tkg-nm50v5h1,,,,,,,,,,,,,,
8/6/2026,accent_dialect,697cac7d3bedace54477eb48,seed_vc,1,1,output_vs_timbreRef,bottom5,hindi13__1633,english200__667,seed_vc_bottom5_output_sentence1_timbre-hindi13__1633__source-english200__667__seed_vc_s1.wav,reference_sentence2_hindi13__1633_s2.wav,no,NA,928,mshx1xj2-rwz9u8wm,,,,,,,,,,,,,,
8/6/2026,accent_dialect,5f9a0b386a200211eea8e2ed,openvoice,8,3,timbreRef_vs_sourceRef,top5,gujarati13__2409,english200__667,source_sentence1_english200__667_s1.wav,reference_sentence2_gujarati13__2409_s2.wav,no,different,1035,mshx12l7-4q2zdl3d,,,,,,,,,,,,,,
8/6/2026,accent_dialect,697cac7d3bedace54477eb48,seed_vc,2,3,timbreRef_vs_sourceRef,top5,gujarati5__1016,english200__667,source_sentence1_english200__667_s1.wav,reference_sentence2_gujarati5__1016_s2.wav,no,different,857,mshx1xj2-rwz9u8wm,,,,,,,,,,,,,,
8/6/2026,accent_dialect,6a1367055e82b8a9a60fcfa7,seed_vc,1,1,output_vs_timbreRef,top5,gujarati5__1016,english200__667,reference_sentence1_gujarati5__1016_s1.wav,seed_vc_top5_output_sentence2_timbre-gujarati5__1016__source-english200__667__seed_vc_s2.wav,yes,NA,1484,mshx1v8y-latl0nlp,,,,,,,,,,,,,,
