timestamp,experiment,participant,model,trial,condition_id,condition,group,timbre,source,audio1,audio2,response,same_speaker_truth,rt_ms,session_id,age,ethnicity,dialect,first_language,other_languages,gender,speech_disorder,speech_disorder_desc,neurodivergent,neurodivergent_desc,technologies_used,ai_use_frequency,ai_attitude,final_feedback
7/31/2026,speaker_identity,65d306f8b16eb5011ccb2025,openvoice,1,1,output_vs_timbreRef,top5,hindi19__2206,english584__2197,openvoice_top5_output_sentence1_timbre-hindi19__2206__source-english584__2197__openvoice_s1.wav,reference_sentence2_hindi19__2206_s2.wav,yes,NA,1469,ms9mfirv-dbjlppk0,,,,,,,,,,,,,,
7/31/2026,speaker_identity,65d306f8b16eb5011ccb2025,openvoice,2,3,timbreRef_vs_sourceRef,top5,hindi13__1633,english200__667,reference_sentence1_hindi13__1633_s1.wav,source_sentence2_english200__667_s2.wav,no,different,2592,ms9mfirv-dbjlppk0,,,,,,,,,,,,,,
7/31/2026,speaker_identity,65d306f8b16eb5011ccb2025,openvoice,3,4,output_vs_sourceRef,top5,gujarati13__2409,english200__667,source_sentence1_english200__667_s1.wav,openvoice_top5_output_sentence2_timbre-gujarati13__2409__source-english200__667__openvoice_s2.wav,no,NA,1471,ms9mfirv-dbjlppk0,,,,,,,,,,,,,,
7/31/2026,speaker_identity,65d306f8b16eb5011ccb2025,openvoice,4,5,sourceRef_vs_sourceRef,bottom5,gujarati9__2041,english584__2197,source_sentence1_english584__2197_s1.wav,source_sentence2_english584__2197_s2.wav,yes,same,1582,ms9mfirv-dbjlppk0,,,,,,,,,,,,,,
7/31/2026,speaker_identity,65d306f8b16eb5011ccb2025,openvoice,5,2,timbreRef_vs_timbreRef,top5,gujarati13__2409,english200__667,reference_sentence1_gujarati13__2409_s1.wav,reference_sentence2_gujarati13__2409_s2.wav,yes,same,2511,ms9mfirv-dbjlppk0,,,,,,,,,,,,,,
7/31/2026,speaker_identity,65d306f8b16eb5011ccb2025,openvoice,6,1,output_vs_timbreRef,bottom5,gujarati7__1504,english200__667,reference_sentence1_gujarati7__1504_s1.wav,openvoice_bottom5_output_sentence2_timbre-gujarati7__1504__source-english200__667__openvoice_s2.wav,yes,NA,1793,ms9mfirv-dbjlppk0,,,,,,,,,,,,,,
7/31/2026,speaker_identity,65d306f8b16eb5011ccb2025,openvoice,7,2,timbreRef_vs_timbreRef,bottom5,gujarati7__1504,english200__667,reference_sentence1_gujarati7__1504_s1.wav,reference_sentence2_gujarati7__1504_s2.wav,yes,same,1814,ms9mfirv-dbjlppk0,,,,,,,,,,,,,,
7/31/2026,speaker_identity,65d306f8b16eb5011ccb2025,openvoice,8,3,timbreRef_vs_sourceRef,bottom5,gujarati9__2041,english584__2197,source_sentence1_english584__2197_s1.wav,reference_sentence2_gujarati9__2041_s2.wav,no,different,1496,ms9mfirv-dbjlppk0,,,,,,,,,,,,,,
7/31/2026,speaker_identity,65d306f8b16eb5011ccb2025,openvoice,9,2,timbreRef_vs_timbreRef,top5,gujarati11__2301,english584__2197,reference_sentence1_gujarati11__2301_s1.wav,reference_sentence2_gujarati11__2301_s2.wav,yes,same,1822,ms9mfirv-dbjlppk0,,,,,,,,,,,,,,
7/31/2026,speaker_identity,65d306f8b16eb5011ccb2025,openvoice,10,2,timbreRef_vs_timbreRef,bottom5,gujarati9__2041,english584__2197,reference_sentence1_gujarati9__2041_s1.wav,reference_sentence2_gujarati9__2041_s2.wav,yes,same,2365,ms9mfirv-dbjlppk0,,,,,,,,,,,,,,
7/31/2026,speaker_identity,65d306f8b16eb5011ccb2025,openvoice,11,3,timbreRef_vs_sourceRef,top5,gujarati17__2824,english200__667,reference_sentence1_gujarati17__2824_s1.wav,source_sentence2_english200__667_s2.wav,no,different,1894,ms9mfirv-dbjlppk0,,,,,,,,,,,,,,
7/31/2026,speaker_identity,65d306f8b16eb5011ccb2025,openvoice,12,3,timbreRef_vs_sourceRef,bottom5,gujarati7__1504,english200__667,reference_sentence1_gujarati7__1504_s1.wav,source_sentence2_english200__667_s2.wav,no,different,1875,ms9mfirv-dbjlppk0,,,,,,,,,,,,,,
7/31/2026,speaker_identity,65d306f8b16eb5011ccb2025,openvoice,13,3,timbreRef_vs_sourceRef,top5,hindi19__2206,english584__2197,reference_sentence1_hindi19__2206_s1.wav,source_sentence2_english584__2197_s2.wav,no,different,1697,ms9mfirv-dbjlppk0,,,,,,,,,,,,,,
7/31/2026,speaker_identity,65d306f8b16eb5011ccb2025,openvoice,14,4,output_vs_sourceRef,top5,hindi13__1633,english200__667,source_sentence1_english200__667_s1.wav,openvoice_top5_output_sentence2_timbre-hindi13__1633__source-english200__667__openvoice_s2.wav,no,NA,1876,ms9mfirv-dbjlppk0,,,,,,,,,,,,,,
7/31/2026,speaker_identity,65c10e1bba59f80070501946,openvoice,1,4,output_vs_sourceRef,top5,gujarati11__2301,english584__2197,openvoice_top5_output_sentence1_timbre-gujarati11__2301__source-english584__2197__openvoice_s1.wav,source_sentence2_english584__2197_s2.wav,no,NA,1729,ms9miv3n-2q4amp49,,,,,,,,,,,,,,
